                                      AC	                         Adelino Pereira	  5
                                      AC	                          Duarte Meneses	  8
                                      AC	                            Joana Simoes	 15
                                      AC	                              Joao Artur	 15
                                      AC	                          Paulo Cortesao	  7
                                      AC	                             Ze Teixeira	 15
                                     AED	                              Eva Filipe	 12
                                     AED	                            Filipe Viana	 17
                                     AED	                              Joao Artur	 14
                                     AED	                               Jonas Rua	 10
                                     AED	                          Paulo Cortesao	 13
                                     AED	                             Paulo Rocha	 17
                                     AED	                             Pedro Faria	  8
                                     AED	                           Rui Casaleiro	 11
                                     AED	                           Sofia Botelho	  8
                                     AED	                             Ze Teixeira	  9
                                    ALGA	                              Eva Filipe	 20
                                    ALGA	                            Filipe Viana	 13
                                    ALGA	                            Joana Simoes	 12
                                    ALGA	                          Paulo Cortesao	 14
                                    ALGA	                             Paulo Rocha	 16
                                    ALGA	                             Pedro Faria	  4
                                     AMI	                         Adelino Pereira	 11
                                     AMI	                            Filipe Viana	  2
                                     AMI	                            Joana Simoes	 17
                                     AMI	                               Jonas Rua	 20
                                     AMI	                             Paulo Rocha	 12
                                    AMII	                               Ana Silva	  4
                                    AMII	                          Duarte Meneses	 14
                                    AMII	                             Paulo Rocha	  9
                                    AMII	                             Pedro Faria	  4
                                    AMII	                           Rui Casaleiro	 13
                                    AMII	                           Sofia Botelho	  8
                                    AMII	                             Ze Teixeira	 12
                                     ATD	                               Ana Silva	  8
                                     ATD	                          Duarte Meneses	 12
                                     ATD	                              Eva Filipe	 15
                                     ATD	                            Filipe Viana	 11
                                     ATD	                               Jonas Rua	 14
                                     ATD	                             Paulo Rocha	 17
                                      ED	                         Adelino Pereira	  9
                                      ED	                          Duarte Meneses	  7
                                      ED	                            Filipe Viana	 13
                                      ED	                              Joao Artur	 19
                                      ED	                               Jonas Rua	 20
                                      ED	                             Paulo Rocha	 14
                                      ED	                             Pedro Faria	 12
                                      ED	                             Ze Teixeira	  8
                                    ESTA	                               Ana Silva	  4
                                    ESTA	                            Joana Simoes	 16
                                    ESTA	                              Joao Artur	 12
                                    ESTA	                             Pedro Faria	  2
                                    ESTA	                           Rui Casaleiro	  7
                                    IPRP	                          Duarte Meneses	 16
                                    IPRP	                              Eva Filipe	 17
                                    IPRP	                            Filipe Viana	  4
                                    IPRP	                            Joana Simoes	 13
